date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:23	133392/133392	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202024%2023:48:08%20GMT	https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/cryptocurrency-scam-recovery3f7e.html	(from )
00:48:27	120/120	---MC-	200	added ('OK')	text/plain	date:Mon,%2015%20Jul%202024%2023:48:23%20GMT	https://capxrecovery.com/robots.txt		(from )
00:48:27	5595/5595	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/favicon.png	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/favicon.png	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:31	473/473	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2008%20May%202024%2007:30:48%20GMT	https://capxrecovery.com/camp/images/hamburger-icon.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/hamburger-icon.svg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:32	143466/143466	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2028%20Apr%202024%2005:58:50%20GMT	https://capxrecovery.com/camp/images/logo.svg	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/images/logo.svg	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:33	263176/263176	---M--	200	added ('OK')	text/css	date:Fri,%2024%20May%202024%2012:39:45%20GMT	https://capxrecovery.com/camp/css/styles.css?v=39528777	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/css/styles126b.css	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:35	25743/25743	---M-Z	200	added ('OK')	text/css	etag:W/%22648f-yDlAlRxreVeQMVatPdcLuzmWiXw%22	https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/css/intlTelInput.css	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/css/intlTelInput.css	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:37	263176/263176	---M--	200	added ('OK')	text/css	date:Fri,%2024%20May%202024%2012:39:45%20GMT	https://capxrecovery.com/camp/css/styles.css	C:/Users/DELL/Desktop/capx/capxrecovery.com/camp/css/styles.css	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:37	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15851%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/DELL/Desktop/capx/cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
00:48:38	49827/49827	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c2a3-B4+DGFVNCjs2bWRvcFe7vOEa05A%22	https://cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/js/intlTelInput.min.js	C:/Users/DELL/Desktop/capx/cdn.jsdelivr.net/npm/intl-tel-input@20.0.4/build/js/intlTelInput.min.js	(from https://capxrecovery.com/camp/cryptocurrency-scam-recovery?utm_source=Google&utm_medium=Ads&utm_campaign=Capx_Pmax_Crypto_Scammers&gad_source=1&gclid=EAIaIQobChMIwqq99JKnhwMVXmVHAR1mEg_kEAAYASAAEgITBPD_BwE)
